,_sa_instance_state,datetime,text,tweet_id,id,username
0,<sqlalchemy.orm.state.InstanceState object at 0x7f88a81068e0>,30/12/2022,"Namanya gelandangan yeah bginilah,gelandangan politik ngawur mulu   Amien Rais Minta Jokowi Lupakan 3 Periode: Oktober 2024 Purna Tugas, InsyaAllah Jadi Guru Bangsa   https://t.co/EzJ97DN2mP lewat @tribunnews",1608956051495452672,1,sihol72
1,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106940>,30/12/2022,"Selamat menyongsong Tahun Baru 2023 Sahabat Terhormat dan yang Saya Muliakan.kiranya sehat selalu&amp;dalam Lindungan Tuhan,Amin. mohon mampir sejenak.🙏😀🙏👍🇮🇩🇮🇩🇮🇩 #jokowi3periode (ini hak saya bersuara/berpendapat) https://t.co/a8zuDV1VgW",1608951841412481026,2,RamotHalomoan
2,<sqlalchemy.orm.state.InstanceState object at 0x7f88a81069a0>,30/12/2022,@LifeGreal @detikcom @NasDem @PKSejahtera @PDemokrat 2 periode Jokowi berkuasa aja para kaum kadal gurun pada kejang2 n pada gila berjamaah  . . Apalagi jika 3 periode? Bisa2 RSJ penuh 🤣🤣🤣🤣🤣,1608876089698586625,3,RicoRubawange
3,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106a00>,30/12/2022,Kalau ide mungkin banyak mengidekan. Soal implementasi pak @jokowi the best. Lanjutkan 3 periode pak 😄,1608872191994785792,4,FintraDigital
4,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106a60>,30/12/2022,"namanya pendapat boleh aja ya kan, yg pasti presiden Jokowi sudah dgn tegas mengatakan tidak ada 3 periode, pemilu akan tetap berjalan karna Jokowi patuh pada konstitusi  https://t.co/yHaoyq0wGT",1608861219125080066,5,PutriSemesta45
5,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106ac0>,30/12/2022,@FWBESS Jokowi 3 periode ngga?,1608857516053778432,6,unknownppl666
6,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106b20>,30/12/2022,Dukung Jokowi 3 Periode hahaha,1608851392520945670,7,Sing4Gurun
7,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106b80>,30/12/2022,@Anti_Oligarki @RamliRizal Coba mana datanya Yang ngomong Lanyalla dukung Jokowi 3 periode ??????,1608838330950774785,8,LaNyallaAcademy
8,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106be0>,30/12/2022,"@Shofia_Labora @jokowi Si paling membantu 😂. Nanti jokowi fokus bantuan sana, ada yg komen ""pak Indonesia bukan di cianjur aja, masih ada papua, dll."" ; ""halah.. Cari sensasi utk 3 periode"". Dan masih banyak yg lainnya. Intinya ndk pernah bener 😂",1608818268596494336,9,EkarinantoM
9,<sqlalchemy.orm.state.InstanceState object at 0x7f88a8106c40>,30/12/2022,"Trending topik  presiden Jokowi Dodo berkunjung di daerah bima NTB pasar sila, seorang  laki-laki ini lolos dari Cegatan pampers. ingin menyuarakan isi hati nya secara langsung dgn presiden💪💪🤗 suara wong Bima #3 periode buat #Jokowidodo https://t.co/fRLxAcvh54",1608818126766112773,10,Erick1Eriyanto
