,_sa_instance_state,text,datetime,tweet_id,username,id
0,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c760>,"Namanya gelandangan yeah bginilah,gelandangan politik ngawur mulu   Amien Rais Minta Jokowi Lupakan 3 Periode: Oktober 2024 Purna Tugas, InsyaAllah Jadi Guru Bangsa   https://t.co/EzJ97DN2mP lewat @tribunnews",30/12/2022,1608956051495452672,sihol72,1
1,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c7c0>,"Selamat menyongsong Tahun Baru 2023 Sahabat Terhormat dan yang Saya Muliakan.kiranya sehat selalu&amp;dalam Lindungan Tuhan,Amin. mohon mampir sejenak.🙏😀🙏👍🇮🇩🇮🇩🇮🇩 #jokowi3periode (ini hak saya bersuara/berpendapat) https://t.co/a8zuDV1VgW",30/12/2022,1608951841412481026,RamotHalomoan,2
2,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c820>,@LifeGreal @detikcom @NasDem @PKSejahtera @PDemokrat 2 periode Jokowi berkuasa aja para kaum kadal gurun pada kejang2 n pada gila berjamaah  . . Apalagi jika 3 periode? Bisa2 RSJ penuh 🤣🤣🤣🤣🤣,30/12/2022,1608876089698586625,RicoRubawange,3
3,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c880>,Kalau ide mungkin banyak mengidekan. Soal implementasi pak @jokowi the best. Lanjutkan 3 periode pak 😄,30/12/2022,1608872191994785792,FintraDigital,4
4,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c8e0>,"namanya pendapat boleh aja ya kan, yg pasti presiden Jokowi sudah dgn tegas mengatakan tidak ada 3 periode, pemilu akan tetap berjalan karna Jokowi patuh pada konstitusi  https://t.co/yHaoyq0wGT",30/12/2022,1608861219125080066,PutriSemesta45,5
5,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c940>,@FWBESS Jokowi 3 periode ngga?,30/12/2022,1608857516053778432,unknownppl666,6
6,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3c9a0>,Dukung Jokowi 3 Periode hahaha,30/12/2022,1608851392520945670,Sing4Gurun,7
7,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3ca00>,@Anti_Oligarki @RamliRizal Coba mana datanya Yang ngomong Lanyalla dukung Jokowi 3 periode ??????,30/12/2022,1608838330950774785,LaNyallaAcademy,8
8,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3ca60>,"@Shofia_Labora @jokowi Si paling membantu 😂. Nanti jokowi fokus bantuan sana, ada yg komen ""pak Indonesia bukan di cianjur aja, masih ada papua, dll."" ; ""halah.. Cari sensasi utk 3 periode"". Dan masih banyak yg lainnya. Intinya ndk pernah bener 😂",30/12/2022,1608818268596494336,EkarinantoM,9
9,<sqlalchemy.orm.state.InstanceState object at 0x7fed23e3cac0>,"Trending topik  presiden Jokowi Dodo berkunjung di daerah bima NTB pasar sila, seorang  laki-laki ini lolos dari Cegatan pampers. ingin menyuarakan isi hati nya secara langsung dgn presiden💪💪🤗 suara wong Bima #3 periode buat #Jokowidodo https://t.co/fRLxAcvh54",30/12/2022,1608818126766112773,Erick1Eriyanto,10
